3x3模式可翻转性分数表
============================================================
索引	二进制模式		分数
------------------------------------------------------------
  0	000 000 000		0.000
  1	100 000 000		0.286
  2	010 000 000		0.097
  3	110 000 000		0.459
  4	001 000 000		0.286
  5	101 000 000		0.411
  6	011 000 000		0.459
  7	111 000 000		0.583
  8	000 100 000		0.097
  9	100 100 000		0.459
 10	010 100 000		0.337
 11	110 100 000		0.564
 12	001 100 000		0.387
 13	101 100 000		0.482
 14	011 100 000		0.462
 15	111 100 000		0.641
 16	000 010 000		0.000
 17	100 010 000		0.423
 18	010 010 000		0.402
 19	110 010 000		0.521
 20	001 010 000		0.423
 21	101 010 000		0.425
 22	011 010 000		0.521
 23	111 010 000		0.587
 24	000 110 000		0.402
 25	100 110 000		0.521
 26	010 110 000		0.420
 27	110 110 000		0.594
 28	001 110 000		0.426
 29	101 110 000		0.483
 30	011 110 000		0.482
 31	111 110 000		0.641
 32	000 001 000		0.097
 33	100 001 000		0.387
 34	010 001 000		0.337
 35	110 001 000		0.462
 36	001 001 000		0.459
 37	101 001 000		0.482
 38	011 001 000		0.564
 39	111 001 000		0.641
 40	000 101 000		0.268
 41	100 101 000		0.433
 42	010 101 000		0.409
 43	110 101 000		0.484
 44	001 101 000		0.433
 45	101 101 000		0.495
 46	011 101 000		0.484
 47	111 101 000		0.587
 48	000 011 000		0.402
 49	100 011 000		0.426
 50	010 011 000		0.420
 51	110 011 000		0.482
 52	001 011 000		0.521
 53	101 011 000		0.483
 54	011 011 000		0.594
 55	111 011 000		0.641
 56	000 111 000		0.382
 57	100 111 000		0.457
 58	010 111 000		0.458
 59	110 111 000		0.498
 60	001 111 000		0.457
 61	101 111 000		0.495
 62	011 111 000		0.498
 63	111 111 000		0.583
 64	000 000 100		0.286
 65	100 000 100		0.411
 66	010 000 100		0.387
 67	110 000 100		0.482
 68	001 000 100		0.422
 69	101 000 100		0.504
 70	011 000 100		0.487
 71	111 000 100		0.498
 72	000 100 100		0.459
 73	100 100 100		0.583
 74	010 100 100		0.462
 75	110 100 100		0.641
 76	001 100 100		0.487
 77	101 100 100		0.498
 78	011 100 100		0.527
 79	111 100 100		0.594
 80	000 010 100		0.423
 81	100 010 100		0.425
 82	010 010 100		0.426
 83	110 010 100		0.483
 84	001 010 100		0.432
 85	101 010 100		0.492
 86	011 010 100		0.488
 87	111 010 100		0.484
 88	000 110 100		0.521
 89	100 110 100		0.587
 90	010 110 100		0.482
 91	110 110 100		0.641
 92	001 110 100		0.488
 93	101 110 100		0.484
 94	011 110 100		0.527
 95	111 110 100		0.564
 96	000 001 100		0.387
 97	100 001 100		0.478
 98	010 001 100		0.470
 99	110 001 100		0.518
100	001 001 100		0.487
101	101 001 100		0.503
102	011 001 100		0.527
103	111 001 100		0.482
104	000 101 100		0.433
105	100 101 100		0.495
106	010 101 100		0.490
107	110 101 100		0.483
108	001 101 100		0.498
109	101 101 100		0.457
110	011 101 100		0.488
111	111 101 100		0.521
112	000 011 100		0.426
113	100 011 100		0.479
114	010 011 100		0.488
115	110 011 100		0.518
116	001 011 100		0.488
117	101 011 100		0.490
118	011 011 100		0.527
119	111 011 100		0.462
120	000 111 100		0.457
121	100 111 100		0.495
122	010 111 100		0.503
123	110 111 100		0.482
124	001 111 100		0.498
125	101 111 100		0.433
126	011 111 100		0.487
127	111 111 100		0.459
128	000 000 010		0.097
129	100 000 010		0.387
130	010 000 010		0.268
131	110 000 010		0.433
132	001 000 010		0.387
133	101 000 010		0.478
134	011 000 010		0.433
135	111 000 010		0.495
136	000 100 010		0.337
137	100 100 010		0.462
138	010 100 010		0.409
139	110 100 010		0.484
140	001 100 010		0.470
141	101 100 010		0.518
142	011 100 010		0.490
143	111 100 010		0.483
144	000 010 010		0.402
145	100 010 010		0.426
146	010 010 010		0.382
147	110 010 010		0.457
148	001 010 010		0.426
149	101 010 010		0.479
150	011 010 010		0.457
151	111 010 010		0.495
152	000 110 010		0.420
153	100 110 010		0.482
154	010 110 010		0.458
155	110 110 010		0.498
156	001 110 010		0.488
157	101 110 010		0.518
158	011 110 010		0.503
159	111 110 010		0.482
160	000 001 010		0.337
161	100 001 010		0.470
162	010 001 010		0.409
163	110 001 010		0.490
164	001 001 010		0.462
165	101 001 010		0.518
166	011 001 010		0.484
167	111 001 010		0.483
168	000 101 010		0.409
169	100 101 010		0.490
170	010 101 010		0.446
171	110 101 010		0.492
172	001 101 010		0.490
173	101 101 010		0.479
174	011 101 010		0.492
175	111 101 010		0.425
176	000 011 010		0.420
177	100 011 010		0.488
178	010 011 010		0.458
179	110 011 010		0.503
180	001 011 010		0.482
181	101 011 010		0.518
182	011 011 010		0.498
183	111 011 010		0.482
184	000 111 010		0.458
185	100 111 010		0.503
186	010 111 010		0.479
187	110 111 010		0.504
188	001 111 010		0.503
189	101 111 010		0.478
190	011 111 010		0.504
191	111 111 010		0.411
192	000 000 110		0.459
193	100 000 110		0.482
194	010 000 110		0.433
195	110 000 110		0.495
196	001 000 110		0.487
197	101 000 110		0.503
198	011 000 110		0.498
199	111 000 110		0.457
200	000 100 110		0.564
201	100 100 110		0.641
202	010 100 110		0.484
203	110 100 110		0.587
204	001 100 110		0.527
205	101 100 110		0.482
206	011 100 110		0.488
207	111 100 110		0.521
208	000 010 110		0.521
209	100 010 110		0.483
210	010 010 110		0.457
211	110 010 110		0.495
212	001 010 110		0.488
213	101 010 110		0.490
214	011 010 110		0.498
215	111 010 110		0.433
216	000 110 110		0.594
217	100 110 110		0.641
218	010 110 110		0.498
219	110 110 110		0.583
220	001 110 110		0.527
221	101 110 110		0.462
222	011 110 110		0.487
223	111 110 110		0.459
224	000 001 110		0.462
225	100 001 110		0.518
226	010 001 110		0.490
227	110 001 110		0.479
228	001 001 110		0.527
229	101 001 110		0.488
230	011 001 110		0.488
231	111 001 110		0.426
232	000 101 110		0.484
233	100 101 110		0.483
234	010 101 110		0.492
235	110 101 110		0.425
236	001 101 110		0.488
237	101 101 110		0.426
238	011 101 110		0.432
239	111 101 110		0.423
240	000 011 110		0.482
241	100 011 110		0.518
242	010 011 110		0.503
243	110 011 110		0.478
244	001 011 110		0.527
245	101 011 110		0.470
246	011 011 110		0.487
247	111 011 110		0.387
248	000 111 110		0.498
249	100 111 110		0.482
250	010 111 110		0.504
251	110 111 110		0.411
252	001 111 110		0.487
253	101 111 110		0.387
254	011 111 110		0.422
255	111 111 110		0.286
256	000 000 001		0.286
257	100 000 001		0.422
258	010 000 001		0.387
259	110 000 001		0.487
260	001 000 001		0.411
261	101 000 001		0.504
262	011 000 001		0.482
263	111 000 001		0.498
264	000 100 001		0.387
265	100 100 001		0.487
266	010 100 001		0.470
267	110 100 001		0.527
268	001 100 001		0.478
269	101 100 001		0.503
270	011 100 001		0.518
271	111 100 001		0.482
272	000 010 001		0.423
273	100 010 001		0.432
274	010 010 001		0.426
275	110 010 001		0.488
276	001 010 001		0.425
277	101 010 001		0.492
278	011 010 001		0.483
279	111 010 001		0.484
280	000 110 001		0.426
281	100 110 001		0.488
282	010 110 001		0.488
283	110 110 001		0.527
284	001 110 001		0.479
285	101 110 001		0.490
286	011 110 001		0.518
287	111 110 001		0.462
288	000 001 001		0.459
289	100 001 001		0.487
290	010 001 001		0.462
